time (us),x (mdps),y (mdps),z(mdps)
1759266319692802,-35,796.25,87.5,
1759266319695352,-245,542.5,-78.75,
1759266319697897,-183.75,420,-26.25,
1759266319700489,-210,262.5,315,
1759266319702989,105,131.25,-61.25,
1759266319705778,122.5,61.25,-402.5,
1759266319708678,183.75,-218.75,-446.25,
1759266319711191,507.5,-446.25,-551.25,
1759266319713880,315,-542.5,-647.5,
1759266319716347,183.75,-682.5,-665,
1759266319718889,367.5,-848.75,-805,
1759266319721513,306.25,-752.5,-227.5,
1759266319724772,105,-1076.25,87.5,
1759266319727386,341.25,-866.25,113.75,
1759266319729942,175,-945,813.75,
1759266319732564,148.75,-1163.75,936.25,
1759266319735189,17.5,-1207.5,525,
1759266319737946,70,-945,542.5,
1759266319741487,-192.5,-770,691.25,
1759266319744212,140,-778.75,621.25,
1759266319746901,490,-848.75,822.5,
1759266319749635,420,-1023.75,796.25,
1759266319752492,752.5,-1155,236.25,
1759266319756200,673.75,-1015,673.75,
1759266319759483,717.5,-1505,1058.75,
1759266319762040,1163.75,-1356.25,997.5,
1759266319764681,1408.75,-1540,813.75,
1759266319767377,1312.5,-1863.75,796.25,
1759266319770212,1382.5,-1575,1120,
1759266319773099,953.75,-1566.25,1618.75,
1759266319775892,927.5,-1295,1470,
1759266319778723,1347.5,-1487.5,1732.5,
1759266319781432,857.5,-1741.25,1907.5,
1759266319784192,1295,-1741.25,1951.25,
1759266319787563,1548.75,-1216.25,1907.5,
1759266319790374,1592.5,-1155,1951.25,
1759266319792933,1513.75,-1032.5,1645,
1759266319795591,1312.5,-717.5,2030,
1759266319798172,743.75,-525,2012.5,
1759266319800933,621.25,-297.5,2108.75,
1759266319803546,376.25,-210,2108.75,
1759266319806368,350,-175,1592.5,
1759266319809084,420,-236.25,1750,
1759266319811753,1233.75,-437.5,2205,
1759266319814423,2100,-1058.75,857.5,
1759266319817133,1312.5,-848.75,577.5,
1759266319819898,1400,-157.5,551.25,
1759266319822699,936.25,35,700,
1759266319825587,980,-131.25,673.75,
1759266319828272,1321.25,-166.25,87.5,
1759266319830874,446.25,-402.5,-700,
1759266319833736,498.75,-17.5,-1058.75,
1759266319836394,656.25,-236.25,-1181.25,
1759266319839172,822.5,-148.75,-560,
1759266319842296,603.75,-61.25,-490,
1759266319845023,315,-148.75,-638.75,
1759266319847879,-70,122.5,-1583.75,
1759266319850539,-8.75,183.75,-1050,
1759266319853267,-455,411.25,-612.5,
1759266319855875,-927.5,708.75,-796.25,
1759266319858574,-551.25,586.25,-402.5,
1759266319861204,-980,673.75,-778.75,
1759266319863912,-927.5,402.5,-743.75,
1759266319866700,-805,-52.5,-1225,
1759266319869412,-350,148.75,-1356.25,
1759266319872268,-166.25,-656.25,-1741.25,
1759266319875044,-358.75,-472.5,-1951.25,
1759266319877767,-595,-525,-1645,
1759266319880536,-183.75,-682.5,-1225,
1759266319883287,-428.75,-542.5,-1303.75,
1759266319886034,148.75,-157.5,-1128.75,
1759266319888969,-78.75,-490,-1356.25,
1759266319891778,-43.75,-918.75,-822.5,
1759266319894695,96.25,-1233.75,-455,
1759266319897426,-70,-875,122.5,
1759266319900197,43.75,-822.5,-280,
1759266319902945,183.75,-883.75,-236.25,
1759266319905973,446.25,-603.75,262.5,
1759266319908776,175,-210,455,
1759266319911692,-157.5,-183.75,612.5,
1759266319914356,-595,-638.75,840,
1759266319917051,-735,-717.5,822.5,
1759266319919817,-323.75,-936.25,761.25,
1759266319922755,-122.5,-813.75,918.75,
1759266319925790,-481.25,-927.5,1312.5,
1759266319928692,-122.5,-1058.75,1583.75,
1759266319931349,280,-997.5,1382.5,
1759266319933995,568.75,-1251.25,1627.5,
1759266319936685,717.5,-761.25,1338.75,
1759266319939609,1198.75,-1041.25,1408.75,
1759266319942850,831.25,-1085,1225,
1759266319945562,971.25,-883.75,1426.25,
1759266319948394,796.25,-901.25,1671.25,
1759266319951248,1023.75,-603.75,1435,
1759266319954228,1015,-691.25,1373.75,
1759266319957337,1146.25,-761.25,1242.5,
1759266319960050,1085,-761.25,1277.5,
1759266319962852,1400,-770,1155,
1759266319965616,857.5,-638.75,1443.75,
1759266319968542,883.75,-533.75,1478.75,
1759266319971878,665,-78.75,1268.75,
1759266319974869,805,-78.75,1260,
1759266319977638,752.5,-498.75,918.75,
1759266319980387,1067.5,-271.25,892.5,
1759266319983240,936.25,-472.5,700,
1759266319986213,507.5,-647.5,551.25,
1759266319989208,621.25,-560,525,
1759266319992129,883.75,-516.25,35,
1759266319994843,1137.5,-455,-227.5,
1759266319997507,1478.75,-525,-218.75,
1759266320000260,945,-822.5,-323.75,
1759266320003173,1478.75,-245,-245,
1759266320006187,787.5,-507.5,-210,
1759266320008920,840,-813.75,-157.5,
1759266320011457,157.5,-455,-61.25,
1759266320014123,148.75,-673.75,148.75,
1759266320016844,463.75,-323.75,498.75,
1759266320019833,271.25,-490,472.5,
1759266320022666,332.5,-612.5,35,
1759266320025394,26.25,-665,-245,
1759266320027994,-516.25,-253.75,-288.75,
1759266320030670,-516.25,-148.75,-78.75,
1759266320033317,-341.25,-105,157.5,
1759266320036119,-735,-218.75,157.5,
1759266320039229,-988.75,-218.75,43.75,
1759266320042090,-525,-96.25,8.75,
1759266320044744,-840,-455,-8.75,
1759266320047443,-192.5,-551.25,402.5,
1759266320050314,-332.5,-376.25,367.5,
1759266320053116,-315,-621.25,122.5,
1759266320056124,35,-341.25,-17.5,
1759266320058972,201.25,-446.25,157.5,
1759266320061654,-96.25,-358.75,113.75,
1759266320064319,43.75,-708.75,306.25,
1759266320067156,306.25,-551.25,-411.25,
1759266320069859,-175,-875,-113.75,
1759266320072739,-227.5,-770,-17.5,
1759266320075858,218.75,-533.75,-236.25,
1759266320078553,-358.75,-560,-105,
1759266320081308,-148.75,-533.75,-131.25,
1759266320084056,-35,-393.75,-481.25,
1759266320086821,-70,-481.25,-437.5,
1759266320090216,131.25,-498.75,-210,
1759266320093111,-87.5,-621.25,262.5,
1759266320096073,-157.5,-490,-271.25,
